epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1695.61,1.46954,3.31916,1.44921,0.30496,0.25221,0.18634,0.10141,1.51415,4.45177,1.58973,0.000415356,0.000415356,0.000415356
2,3427.95,1.58236,2.6725,1.5002,0.35268,0.31766,0.22871,0.1219,1.55779,3.15679,1.59044,0.000799075,0.000799075,0.000799075
3,5399.4,1.63401,2.419,1.52533,0.4005,0.28341,0.24651,0.13079,1.61799,2.8773,1.66105,0.00114979,0.00114979,0.00114979
4,7544.67,1.64669,2.27722,1.52251,0.40214,0.3818,0.3244,0.19247,1.49122,2.44651,1.57683,0.0011015,0.0011015,0.0011015
5,9530.9,1.60875,2.14539,1.51239,0.46361,0.3486,0.3253,0.18793,1.53382,2.43992,1.57816,0.001052,0.001052,0.001052
6,11260.9,1.61323,2.07581,1.49073,0.52843,0.3862,0.41449,0.24935,1.48494,2.04483,1.54131,0.0010025,0.0010025,0.0010025
7,12999.9,1.58278,2.02434,1.48086,0.47347,0.38359,0.36778,0.22198,1.45291,2.17063,1.53909,0.000953,0.000953,0.000953
8,15175.7,1.54138,1.97611,1.47604,0.51428,0.40223,0.41227,0.24347,1.49557,2.08833,1.55662,0.0009035,0.0009035,0.0009035
9,27409.4,1.5455,1.91897,1.46405,0.59435,0.41625,0.46755,0.28969,1.44321,1.85404,1.50222,0.000854,0.000854,0.000854
10,29509.3,1.53649,1.86375,1.45936,0.5577,0.43641,0.45676,0.28853,1.37739,1.87909,1.44378,0.0008045,0.0008045,0.0008045
11,31507.5,1.50613,1.8083,1.44116,0.53983,0.43306,0.44497,0.27873,1.39467,2.14105,1.46836,0.000755,0.000755,0.000755
12,33412.5,1.50564,1.78119,1.44445,0.60727,0.45782,0.51637,0.33244,1.34931,1.68256,1.44537,0.0007055,0.0007055,0.0007055
13,35644.4,1.49058,1.76579,1.4304,0.57578,0.44602,0.47141,0.29768,1.39307,1.82381,1.45384,0.000656,0.000656,0.000656
14,37879.2,1.50481,1.73244,1.42217,0.59133,0.46438,0.50338,0.32974,1.3164,1.71606,1.40698,0.0006065,0.0006065,0.0006065
15,40837,1.48118,1.69754,1.41665,0.56904,0.48499,0.50333,0.32202,1.34351,1.71709,1.41635,0.000557,0.000557,0.000557
16,42431.2,1.46893,1.67743,1.47913,0.63499,0.47977,0.53786,0.35144,1.33887,1.61675,1.41829,0.0005075,0.0005075,0.0005075
17,44034.1,1.44309,1.61718,1.454,0.64803,0.49717,0.55153,0.36337,1.30077,1.58529,1.38726,0.000458,0.000458,0.000458
18,46980.1,1.43589,1.59659,1.44093,0.64779,0.48675,0.55817,0.36786,1.282,1.64974,1.37471,0.0004085,0.0004085,0.0004085
19,49191.8,1.41767,1.55064,1.43829,0.6603,0.48462,0.56334,0.38656,1.25232,1.54438,1.37137,0.000359,0.000359,0.000359
20,51399.9,1.40584,1.52612,1.42322,0.63762,0.51881,0.57795,0.38468,1.27512,1.52466,1.34575,0.0003095,0.0003095,0.0003095
21,53478.5,1.39818,1.4858,1.42,0.65613,0.52951,0.58977,0.39506,1.27427,1.47529,1.35976,0.00026,0.00026,0.00026
22,55285,1.36569,1.42667,1.39691,0.6725,0.52355,0.58845,0.39945,1.23443,1.47694,1.34095,0.0002105,0.0002105,0.0002105
23,57423.7,1.36333,1.42126,1.40038,0.70907,0.52536,0.61328,0.41884,1.21496,1.42712,1.32099,0.000161,0.000161,0.000161
24,59636.9,1.37571,1.39607,1.38786,0.70238,0.52427,0.6086,0.41871,1.21053,1.42519,1.32233,0.0001115,0.0001115,0.0001115
25,61884.4,1.35439,1.37335,1.37463,0.69279,0.53417,0.61488,0.42062,1.21571,1.42429,1.31932,6.2e-05,6.2e-05,6.2e-05
